austrak,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,AUS
1999,88.78,83.78,79.69,88.19,88.31,87.56,87.53,85.59,86.15
2000,91.83,87.89,83.65,90.48,90.36,90.19,90.46,87.66,89.23
2001,91.98,90.61,88.49,91.59,91.52,92.19,91.84,89.54,91.08
2002,90.75,90.73,90.01,91.15,91.65,92.11,91.35,89.18,90.9
2003,90.36,91.17,89.47,91.57,91.54,92.13,92,89.67,91.32
2004,93.11,91.03,89.07,91.48,91.77,91.83,91.49,89.03,91.11
2005,93.92,90.64,91.48,90.86,91.15,92.39,91.65,89.27,90.93
2006,91.35,90.68,91.23,90.38,90.82,93.22,91.27,89.52,90.73
2007,93.36,91.52,90.8,91,90.93,92.32,91.72,89.28,91.24
2008,93.63,91.44,90.41,90.87,91.14,91.84,91.76,89.75,91.24
2009,93.99,92.1,90.03,91.49,91.52,91.95,92.18,89.4,91.67
2010,93.26,91.43,89.98,91.71,91.26,92.17,92.02,89.82,91.48
2011,93.24,91.16,90.75,91.6,91.83,91.56,92.39,89.78,91.49
2012,92.83,91.4,92.48,91.86,92.01,92.81,92.35,90.08,91.69
2013,92.97,90.02,91.22,91.55,90.6,91.05,91.04,90.16,90.73
2014,92.91,90.11,89.63,91.53,90.38,89.79,90.83,90.67,90.69
2015,93.76,92.2,92.63,92.42,92.41,92.38,92.18,92.09,92.28
2016,94.87,93.31,92.98,93.89,93.36,93.56,93.35,92.75,93.41
2017,94.84,93.87,93.51,94.11,94.25,94.26,94.25,93.38,94
2018,96.41,94.46,94.43,94.41,94.65,94.58,94.86,93.88,94.54
2019,95.61,94.17,93.99,94.2,94.62,94.06,94.71,93.71,94.31
2020,96.86,95.4,95.73,94.92,95.38,95.83,95.58,94.88,95.33
2021,96.86,95.03,94.42,94.17,95.07,95.54,95.26,94.19,94.86
