"3412.0 Migration, Australia 2005–06",,,,,,,,,,,,,,,,
Released at 11.30 am (Canberra time) 29 March 2007,,,,,,,,,,,,,,,,
"Table 1 Permanent arrivals, Country of birth, 1975-76 to 2005-06",,,,,,,,,,,,,,,,
,1975-76,1976-77,1977-78,1978-79,1979-80,1980-81,1981-82,1982-83,1983-84,1984-85,1985-86,1986-87,1987-88,1988-89,1989-90,1990-91
  China (excludes SARs and Taiwan Province),639,744,1164,1000,1219,1342,1385,1167,1613,3144,3138,2693,3281,3819,3069,3256
   Viet Nam,539,951,5400,10828,12915,12172,11088,8690,9513,8487,7168,6645,5962,7971,11156,13248
   Philippines,1111,1681,1462,1256,2013,2792,3251,2735,2874,3162,4128,6409,10429,9204,6080,6388
   Taiwan (Province of China),32,35,36,44,71,93,118,122,126,238,381,804,1145,2100,3055,3491
   Afghanistan,0,0,6,3,8,35,67,97,101,236,332,518,281,338,239,324
   Argentina,629,1061,902,769,531,311,446,535,201,215,295,398,393,313,480,520
   Australia,745,783,815,637,701,977,699,480,305,323,289,395,443,547,352,381
   Bangladesh,36,32,42,29,54,29,35,41,34,55,71,66,116,219,167,358
   Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
   Brazil,43,48,112,118,70,76,54,113,83,137,167,139,201,163,149,137
   Burma (Myanmar),361,248,161,177,107,100,105,126,128,161,148,236,298,220,141,116
   Cambodia,238,59,338,200,583,1938,2154,4070,1659,1172,866,1374,1224,1480,309,193
   Canada,649,606,724,685,726,815,967,955,784,826,930,1036,1044,993,1118,910
   Chile,1905,1672,1261,822,480,441,280,493,682,1695,2037,2018,1965,1358,735,704
   Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
   Cyprus,2855,2773,549,335,305,400,464,277,273,256,353,473,528,447,253,145
   Czechoslovakia Czech Republic Slovakia,68,112,101,104,582,925,670,785,559,577,414,476,517,350,378,193
   Egypt,244,283,315,306,215,255,248,263,350,392,657,941,1315,1285,667,802
   El Salvador,0,14,0,0,0,5,4,10,426,772,481,645,1049,1539,1922,1538
   Fiji,298,454,405,436,400,565,821,589,543,670,1104,1584,2980,2690,2632,2440
   Former USSR not further defined,461,520,674,810,1835,679,406,161,151,147,214,175,411,961,1730,861
   Former Yugoslav Republic of Macedonia (FYROM),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
   Former Yugoslavia not further defined,1804,1649,1777,1269,1665,1557,1701,1336,1055,1479,1950,2647,3267,2885,1993,0
   France,318,309,268,268,405,556,594,573,411,327,394,398,463,448,325,342
   Germany,954,824,928,863,1202,2097,3089,4129,1612,1054,1031,1387,1497,1283,1077,889
   Greece,1489,1525,1165,823,861,1005,1140,503,630,682,875,949,885,597,417,351
   Hong Kong (SAR of China),897,1102,1489,1180,799,775,1295,1369,2017,3289,3118,3403,5571,7307,8052,13541
