Year,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,National_Mod,,ACT_short,NSW_short,NT_short,QLD_short,SA_short,TAS_short,VIC_short,WA_short,National_Short,,ACT_long,NSW_long,NT_long,QLD_long,SA_long,TAS_long,VIC_long,WA_long,National_Long
1951,2213,37628,391,18749,13931,2734,40622,13931,130200,,2213,37628,391,18749,13931,2734,40622,13931,130200,,2213,37628,391,18749,13931,2734,40622,13931,130200
1952,2213,37628,391,18749,13931,2734,40622,13931,130200,,2213,37628,391,18749,13931,2734,40622,13931,130200,,2213,37628,391,18749,13931,2734,40622,13931,130200
1953,2213,37628,391,18749,13931,2734,40622,13931,130200,,2213,37628,391,18749,13931,2734,40622,13931,130200,,2213,37628,391,18749,13931,2734,40622,13931,130200
1954,2213,37628,391,18749,13931,2734,40622,13931,130200,,2213,37628,391,18749,13931,2734,40622,13931,130200,,2213,37628,391,18749,13931,2734,40622,13931,130200
1955,2047,34801,361,17340,12885,2529,37570,12885,120418,,2047,34801,361,17340,12885,2529,37570,12885,120418,,2047,34801,361,17340,12885,2529,37570,12885,120418
1956,2047,35523,482,16377,14811,2168,38413,10597,120418,,2047,35523,482,16377,14811,2168,38413,10597,120418,,2047,35523,482,16377,14811,2168,38413,10597,120418
1957,2047,35282,482,16618,14209,2288,38173,11319,120418,,2047,35282,482,16618,14209,2288,38173,11319,120418,,2047,35282,482,16618,14209,2288,38173,11319,120418
1958,2047,35403,482,16497,14450,2288,38293,10958,120418,,2047,35403,482,16497,14450,2288,38293,10958,120418,,2047,35403,482,16497,14450,2288,38293,10958,120418
1959,2047,35403,482,16377,14811,2288,38413,10597,120418,,2047,35403,482,16377,14811,2288,38413,10597,120418,,2047,35403,482,16377,14811,2288,38413,10597,120418
1960,2259,39197,664,17805,16609,2392,42518,11427,132870,,2259,39197,664,17805,16609,2392,42518,11427,132870,,2259,39197,664,17805,16609,2392,42518,11427,132870
1961,2392,39330,664,17672,16874,2392,42651,10895,132870,,2392,39330,664,17672,16874,2392,42651,10895,132870,,2392,39330,664,17672,16874,2392,42651,10895,132870
1962,2392,39462,664,17539,17140,2392,42651,10630,132870,,2392,39462,664,17539,17140,2392,42651,10630,132870,,2392,39462,664,17539,17140,2392,42651,10630,132870
1963,2392,39595,664,17406,17539,2259,42784,10231,132870,,2392,39595,664,17406,17539,2259,42784,10231,132870,,2392,39595,664,17406,17539,2259,42784,10231,132870
1964,2392,39595,664,17140,17805,2259,43183,9832,132870,,2392,39595,664,17140,17805,2259,43183,9832,132870,,2392,39595,664,17140,17805,2259,43183,9832,132870
1965,2655,50141,937,23118,13746,2655,40456,22493,156201,,2655,50141,937,23118,13746,2655,40456,22493,156201,,2655,50141,937,23118,13746,2655,40456,22493,156201
1966,2655,50141,937,23118,13746,2655,40456,22493,156201,,2655,50141,937,23118,13746,2655,40456,22493,156201,,2655,50141,937,23118,13746,2655,40456,22493,156201
1967,2655,50141,937,23118,13746,2655,40456,22493,156201,,2655,50141,937,23118,13746,2655,40456,22493,156201,,2655,50141,937,23118,13746,2655,40456,22493,156201
1968,2655,50141,937,23118,13746,2655,40456,22493,156201,,2655,50141,937,23118,13746,2655,40456,22493,156201,,2655,50141,937,23118,13746,2655,40456,22493,156201
1969,2655,50141,937,23118,13746,2655,40456,22493,156201,,2655,50141,937,23118,13746,2655,40456,22493,156201,,2655,50141,937,23118,13746,2655,40456,22493,156201
1970,2081,39289,734,18115,10771,2081,31701,17625,122397,,2081,39289,734,18115,10771,2081,31701,17625,122397,,2081,39289,734,18115,10771,2081,31701,17625,122397
1971,2081,39289,734,18115,10771,2081,31701,17625,122397,,2081,39289,734,18115,10771,2081,31701,17625,122397,,2081,39289,734,18115,10771,2081,31701,17625,122397
1972,2081,21071,126,6430,5223,1,16709,6375,56320,,2081,21071,126,6430,5223,1,16709,6375,56320,,2081,21071,126,6430,5223,1,16709,6375,56320
1973,2081,24461,-51,10279,6359,385,17610,7412,67494,,2081,24461,-51,10279,6359,385,17610,7412,67494,,2081,24461,-51,10279,6359,385,17610,7412,67494
1974,2081,32686,477,6064,6522,830,25009,14299,87248,,2081,32686,477,6064,6522,830,25009,14299,87248,,2081,32686,477,6064,6522,830,25009,14299,87248
1975,897,6498,-323,-47,-341,5,6168,1266,13513,,897,6498,-323,-47,-341,5,6168,1266,13513,,897,6498,-323,-47,-341,5,6168,1266,13513
1976,1134,14777,165,1912,988,211,11846,3878,34030,,1134,14777,165,1912,988,211,11846,3878,34030,,1134,14777,165,1912,988,211,11846,3878,34030
1977,1171,28180,1047,5953,3675,675,19932,8140,68027,,1171,28180,1047,5953,3675,675,19932,8140,68027,,1171,28180,1047,5953,3675,675,19932,8140,68027
1978,1075,23083,745,5270,609,78,14132,3730,47397,,1075,23083,745,5270,609,78,14132,3730,47397,,1075,23083,745,5270,609,78,14132,3730,47397
1979,1292,32541,393,8858,1776,524,18774,5600,68611,,1292,32541,393,8858,1776,524,18774,5600,68611,,1292,32541,393,8858,1776,524,18774,5600,68611
1980,1771,42277,576,13737,5502,855,26122,11026,100940,,1771,42277,576,13737,5502,855,26122,11026,100940,,1771,42277,576,13737,5502,855,26122,11026,100940
1981,1889,47515,1463,17863,7578,1157,29666,17131,123076,,1889,47515,1463,17863,7578,1157,29666,17131,123076,,1889,47515,1463,17863,7578,1157,29666,17131,123076
1982,1488,38545,603,14166,7067,761,24960,15627,102708,,1488,38545,603,14166,7067,761,24960,15627,102708,,1488,38545,603,14166,7067,761,24960,15627,102708
1983,1101,20084,815,4578,5184,609,16305,6849,54995,,1101,20084,815,4578,5184,609,16305,6849,54995,,1101,20084,815,4578,5184,609,16305,6849,54995
1984,1240,25966,766,5091,3952,704,17704,5143,59823,,1240,25966,766,5091,3952,704,17704,5143,59823,,1240,25966,766,5091,3952,704,17704,5143,59823
1985,1481,37133,1285,9759,4747,726,23938,10574,89321,,1481,37133,1285,9759,4747,726,23938,10574,89321,,1481,37133,1285,9759,4747,726,23938,10574,89321
1986,1817,44841,1057,12519,5963,1006,28238,15513,110663,,1817,44841,1057,12519,5963,1006,28238,15513,110663,,1817,44841,1057,12519,5963,1006,28238,15513,110663
1987,2295,58319,987,15349,5545,850,36004,17553,136060,,2295,58319,987,15349,5545,850,36004,17553,136060,,2295,58319,987,15349,5545,850,36004,17553,136060
1988,2325,69241,1083,24964,7164,862,41788,26024,172794,,2325,69241,1083,24964,7164,862,41788,26024,172794,,2325,69241,1083,24964,7164,862,41788,26024,172794
1989,1940,52694,832,15866,5798,756,34057,18729,129478,,1940,52694,832,15866,5798,756,34057,18729,129478,,1940,52694,832,15866,5798,756,34057,18729,129478
1990,1947,41350,842,9270,4691,467,27163,12806,97131,,1947,41350,842,9270,4691,467,27163,12806,97131,,1947,41350,842,9270,4691,467,27163,12806,97131
1991,1718,35141,405,10179,4015,286,21478,9828,81669,,1718,35141,405,10179,4015,286,21478,9828,81669,,1718,35141,405,10179,4015,286,21478,9828,81669
