1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,3
2001,222
2002,761
2003,1048
2004,1307
2005,1700
2006,2145
2007,2945
2008,4038
2009,5321
2010,5678
2011,6018
2012,7941
2013,11379
2014,14957
2015,15920
2016,17698
2017,19358
2018,21135
2019,22828
2020,23787
2021,25292
2022,25292
2023,25292
2024,25292
2025,25292
2026,25292
2027,25292
2028,25292
2029,25292
2030,25292
2031,25292
2032,25292
2033,25292
2034,25292
2035,25292
2036,25292
2037,25292
2038,25292
2039,25292
2040,25292
2041,25292
2042,25292
2043,25292
2044,25292
2045,25292
2046,25292
2047,25292
2048,25292
2049,25292
2050,25292
