,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,Australia
2000,0,2,0,0,0,0,1,0,3
2001,3,113,2,18,8,1,64,13,222
2002,10,389,5,63,27,2,220,44,761
2003,14,536,7,87,38,3,303,60,1048
2004,17,669,9,108,47,4,377,75,1307
2005,23,870,12,141,61,5,491,98,1700
2006,28,1098,15,178,78,6,620,123,2145
2007,39,1507,20,244,106,9,850,169,2945
2008,54,2067,28,334,146,12,1166,232,4038
2009,71,2724,37,441,192,16,1537,305,5321
2010,75,2906,39,470,205,17,1640,326,5678
2011,80,3080,41,498,218,18,1738,345,6018
2012,109,4246,53,672,300,22,2125,414,7941
2013,172,5632,64,1049,523,39,3288,611,11379
2014,226,7404,84,1379,687,52,4322,803,14957
2015,252,7754,173,1524,655,75,4519,968,15920
2016,270,8369,185,1738,714,79,5120,1099,17698
2017,299,8915,238,2021,799,89,5625,1241,19358
2018,341,9594,311,2289,864,109,6137,1387,21135
2019,371,10172,386,2599,977,106,6666,1538,22828
2020,402,10269,414,2804,1013,128,7112,1631,23787
2021,438,10214,517,3241,1162,175,7837,1822,25292
