Africa,,,,
,Phase 1,Phase 2,Phase 3,Phase 4
0-4,0.680000,0.066667,0.240000,0.013333
5_9,0.680000,0.066667,0.240000,0.013333
10_14,0.142857,0.071429,0.726190,0.059524
15-19,0.142857,0.071429,0.726190,0.059524
20-24,0.056180,0.033708,0.820225,0.089888
25-29,0.056180,0.033708,0.820225,0.089888
30-34,0.043011,0.000000,0.870968,0.086022
35-39,0.043011,0.000000,0.870968,0.086022
40-44,0.021053,0.000000,0.926316,0.052632
45-49,0.021053,0.000000,0.926316,0.052632
50-54,0.000000,0.000000,0.969072,0.030928
55-59,0.000000,0.000000,0.969072,0.030928
60-64,0.000000,0.000000,0.950000,0.050000
65-69,0.000000,0.000000,0.950000,0.050000
70-74,0.000000,0.000000,0.950000,0.050000
75-79,0.000000,0.000000,0.950000,0.050000
80-84,0.000000,0.000000,0.950000,0.050000
84+,0.000000,0.000000,0.950000,0.050000
,,,,
Asia,,,,
,Phase 1,Phase 2,Phase 3,Phase 4
0-4,0.7,0.15,0.15,0
5_9,0.7,0.15,0.15,0
10_14,0.605,0.105,0.255,0.035
15-19,0.605,0.105,0.255,0.035
20-24,0.505,0.105,0.355,0.035
25-29,0.505,0.105,0.355,0.035
30-34,0.306666667,0.156666667,0.406666667,0.13
35-39,0.306666667,0.156666667,0.406666667,0.13
40-44,0.11,0.16,0.56,0.17
45-49,0.11,0.16,0.56,0.17
50-54,0.06,0.06,0.66,0.22
55-59,0.06,0.06,0.66,0.22
60-64,0,0.07,0.67,0.26
65-69,0,0.07,0.67,0.26
70-74,0,0.07,0.67,0.26
75-79,0,0.07,0.67,0.26
80-84,0,0.07,0.67,0.26
84+,0,0.07,0.67,0.26
,,,,
Indigenous,,,,
,Phase 1,Phase 2,Phase 3,Phase 4
0-4,0.6,0.1,0.25,0.05
5_9,0.6,0.1,0.25,0.05
10_14,0.4,0.15,0.35,0.1
15-19,0.4,0.15,0.35,0.1
20-24,0.25,0.15,0.4,0.2
25-29,0.25,0.15,0.4,0.2
30-34,0.15,0.1,0.45,0.3
35-39,0.15,0.1,0.45,0.3
40-44,0.1,0.05,0.5,0.35
45-49,0.1,0.05,0.5,0.35
50-54,0.05,0.05,0.65,0.25
55-59,0.05,0.05,0.65,0.25
60-64,UNK,UNK,UNK,UNK
65-69,UNK,UNK,UNK,UNK
70-74,UNK,UNK,UNK,UNK
75-79,UNK,UNK,UNK,UNK
80-84,UNK,UNK,UNK,UNK
84+,UNK,UNK,UNK,UNK
,,,,
Combined,,,,
,Phase 1,Phase 2,Phase 3,Phase 4
0-4,0.66,0.105555556,0.213333333,0.021111111
5_9,0.66,0.105555556,0.213333333,0.021111111
10_14,0.382619048,0.108809524,0.443730159,0.06484127
15-19,0.382619048,0.108809524,0.443730159,0.06484127
20-24,0.270393258,0.096235955,0.525074906,0.10829588
25-29,0.270393258,0.096235955,0.525074906,0.10829588
30-34,0.16655914,0.085555556,0.575878136,0.172007168
35-39,0.16655914,0.085555556,0.575878136,0.172007168
40-44,0.077017544,0.07,0.662105263,0.190877193
45-49,0.077017544,0.07,0.662105263,0.190877193
50-54,0.036666667,0.036666667,0.759690722,0.166975945
55-59,0.036666667,0.036666667,0.759690722,0.166975945
60-64,0,0.035,0.81,0.155
65-69,0,0.035,0.81,0.155
70-74,0,0.035,0.81,0.155
75-79,0,0.035,0.81,0.155
80-84,0,0.035,0.81,0.155
84+,0,0.035,0.81,0.155
