,Country Prevalence Estimates for 1951 to 1974,RegionID
Austria,1.23,3
Canada,0.76,3
Chile(a),0.68,3
Cyprus,2.69,3
Czechoslovakia,1.24,3
Denmark,0.91,3
Egypt,0.56,1
Fiji,0.62,3
Germany,0.7,3
Greece,0.74,3
Hong Kong,2.92,2
Hungary,0.53,3
India,0.4,2
Indonesia,2.14,2
Ireland,0.54,3
Italy,2.52,3
Korea,5.26,2
Lebanon,0.82,1
Malaysia,1.7,2
Malta,0.96,3
Netherlands,0.4,3
NZ,1.38,3
PNG,2.35,3
Poland,3,3
Singapore,2.28,2
South Africa,0.18,1
Sri Lanka,0.06,2
Sweden,0.59,3
Sudan,5.15,1
Turkey,2.78,1
UK/Ireland,0.54,3
USA,0.27,3
USSR,2.73,3
Yugoslavia,0.84,3
Other,0,3
