State of Residence,Migrant Direction,Country of Birth SACC Code,Country of Birth SACC Label,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,Total
New South Wales,Arrival,1000,Oceania nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,1100,Aust (incl E T) nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,1101,Australia,1444,1315,1054,827,989,1992,2145,1387,1102,896,643,456,379,245,138,77,34,17,15142
New South Wales,Arrival,1102,Norfolk Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,1199,"Aust E T, nec",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,1201,New Zealand,472,295,218,389,748,671,362,199,171,184,168,173,169,97,80,32,18,15,4481
New South Wales,Arrival,1300,Melanesia nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,1301,New Caledonia,0,0,0,0,0,0,5,3,3,0,0,5,0,0,0,0,0,0,19
New South Wales,Arrival,1302,PNG,3,9,6,6,8,4,8,0,9,7,7,3,7,0,0,0,0,0,84
New South Wales,Arrival,1303,Solomon Islands,0,0,0,3,188,315,219,153,60,6,0,0,0,0,0,0,0,0,946
New South Wales,Arrival,1304,Vanuatu,0,0,0,0,166,408,279,209,168,63,14,3,3,0,0,0,0,0,1305
New South Wales,Arrival,1400,Micronesia nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,1401,Guam,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
New South Wales,Arrival,1402,Kiribati,0,0,0,0,11,30,22,9,5,3,0,0,0,0,0,0,0,0,73
New South Wales,Arrival,1403,Marshall Is,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,1404,"Micronesia, F S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,1405,Nauru,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3
New South Wales,Arrival,1406,N Mariana Is,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,1407,Palau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,1500,Polynesia nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,1501,Cook Islands,4,7,0,10,8,4,0,6,4,7,6,6,3,0,0,0,3,0,66
New South Wales,Arrival,1502,Fiji,8,9,7,25,87,169,173,128,73,29,28,29,30,27,22,9,3,6,859
New South Wales,Arrival,1503,French Poly,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
New South Wales,Arrival,1504,Niue,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4
New South Wales,Arrival,1505,Samoa,5,18,16,34,180,241,176,134,56,14,17,23,19,13,7,13,7,3,976
New South Wales,Arrival,1506,Samoa American,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,11
New South Wales,Arrival,1507,Tokelau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
New South Wales,Arrival,1508,Tonga,0,0,3,13,346,274,146,86,76,33,15,14,4,8,0,0,0,0,1026
New South Wales,Arrival,1511,Tuvalu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
New South Wales,Arrival,1512,Wallis/Futuna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
