State of Residence,Migration Direction,Country of Birth SACC Code,Country of Birth SACC Label,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,Total
New South Wales,Arrival,1000,Oceania nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,1100,Aust (incl E T) nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,1101,Australia,1290,1270,930,830,900,1360,1630,1210,920,720,550,350,280,200,140,70,30,20,12700
New South Wales,Arrival,1102,Norfolk Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,1199,"Aust E T, nec",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,1201,New Zealand,410,280,230,470,880,800,420,220,180,130,170,130,130,90,50,40,20,10,4680
New South Wales,Arrival,1300,Melanesia nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,1301,New Caledonia,0,0,0,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,50
New South Wales,Arrival,1302,PNG,0,0,20,10,30,50,40,20,20,10,10,0,0,0,0,0,0,0,220
New South Wales,Arrival,1303,Solomon Islands,0,0,0,0,60,90,50,40,20,0,0,0,0,0,0,0,0,0,280
New South Wales,Arrival,1304,Vanuatu,0,0,0,0,60,110,70,60,40,10,10,0,0,0,0,0,0,0,370
New South Wales,Arrival,1400,Micronesia nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,1401,Guam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,1402,Kiribati,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,20
New South Wales,Arrival,1403,Marshall Is,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,1404,"Micronesia, F S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,1405,Nauru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,1406,N Mariana Is,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,1407,Palau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,1500,Polynesia nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,1501,Cook Islands,10,10,10,10,10,10,0,10,0,0,10,0,0,0,0,0,0,0,110
New South Wales,Arrival,1502,Fiji,50,50,70,160,270,430,340,270,200,110,80,70,40,30,30,20,10,10,2250
New South Wales,Arrival,1503,French Poly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
New South Wales,Arrival,1504,Niue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
New South Wales,Arrival,1505,Samoa,10,30,110,90,140,130,90,70,40,30,20,20,20,20,10,10,0,0,840
New South Wales,Arrival,1506,Samoa American,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
New South Wales,Arrival,1507,Tokelau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
New South Wales,Arrival,1508,Tonga,10,10,10,40,120,60,40,40,20,10,10,10,10,10,10,0,0,0,400
New South Wales,Arrival,1511,Tuvalu,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,20
New South Wales,Arrival,1512,Wallis/Futuna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
