Reference quarter,(All),,,,,,,,,,,,,,,,,,
Migrant Direction,PLT Net,,,,,,,,,,,,,,,,,,
Country of Birth SACC Label,(Multiple Items),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Row Labels,Sum of 0-4,Sum of 5-Sep,Sum of Oct-14,Sum of 15-19,Sum of 20-24,Sum of 25-29,Sum of 30-34,Sum of 35-39,Sum of 40-44,Sum of 45-49,Sum of 50-54,Sum of 55-59,Sum of 60-64,Sum of 65-69,Sum of 70-74,Sum of 75-79,Sum of 80-84,Sum of 85+,Sum of Total
Australia,4990,3940,3310,2880,-7130,-12920,-2800,1990,2120,1110,220,-1080,-2920,-3110,-1630,-560,-230,-70,-12020
Australian Capital Territory,60,50,40,20,-380,-270,-70,20,0,10,-20,-50,-20,-60,-60,-10,0,0,-620
New South Wales,2320,1770,1450,1360,-1800,-3760,-490,1470,1260,680,390,310,-260,-510,-260,-110,0,-10,3840
Northern Territory,60,70,40,30,-10,-60,60,30,30,20,0,-30,-40,-30,0,0,0,0,170
Queensland,640,480,320,60,-1700,-2370,-580,60,120,40,-130,-410,-540,-420,-260,-90,-30,-20,-4610
South Australia,200,170,200,100,-410,-500,20,120,150,50,-50,-150,-170,-250,-140,-70,-20,0,-520
Tasmania,40,20,0,-10,-20,-60,10,10,20,0,0,-10,-20,-20,-10,0,0,0,-60
Victoria,1240,960,840,960,-2220,-5310,-1240,270,440,270,30,-490,-1360,-1350,-710,-250,-90,-20,-7960
Western Australia,310,230,200,90,-580,-630,-350,-70,70,-30,-110,-350,-450,-410,-240,-100,-20,-10,-2290
Grand Total,9860,7690,6400,5490,-14250,-25880,-5440,3900,4210,2150,330,-2260,-5780,-6160,-3310,-1190,-390,-130,-24070
