COB,OLDPREV,HighPrev,RegionID,LCI,UCI,PREV2017,PREV2019,LCI,UCI
Afghanistan,0.015805705,0.05,2,0.0066,0.025,0.0214,0.018966847,0.0066,0.025
Bangladesh,0.007368421,0.05,2,0.0299,0.0321,0.031,0.008842105,0.0299,0.0321
Cambodia,0.081303725,0.1,2,0.0665,0.1052,0.0922,0.09756447,0.0665,0.1052
China,0.066478873,0.1,2,0.0568,0.0792,0.0756,0.079774648,0.0568,0.0792
Ethiopia,0.0603,0.1,1,0.0577,0.0631,0.0603,0.0603,0.0577,0.0631
Germany,0.007,0.005,3,0.0065,0.0076,0.007,0.007,0.0065,0.0076
Greece,0.0074,0.005,3,0.0013,0.0179,0.0074,0.00744,0.0013,0.0179
Hong Kong,0.030728123,0.1,2,0.0141,0.0464,0.0292,0.036873747,0.0141,0.0464
India,0.003335082,0.05,2,0.0009,0.0066,0.004,0.004002098,0.0009,0.0066
Indonesia,0.018022865,0.1,2,0.0128,0.0334,0.0214,0.021627438,0.0128,0.0334
Italy,0.0252,0.05,3,0.0249,0.0254,0.0252,0.0252,0.0249,0.0254
Kenya,0.0516,0.1,1,0.0486,0.0548,0.0516,0.0516,0.0486,0.0548
Korea South,0.02658389,0.1,2,0.0102,0.0294,0.0246,0.031900669,0.0102,0.0294
Malaysia,0.016781836,0.1,2,0,0.0953,0.017,0.020138203,0,0.0953
Myanmar,0.05573081,0.1,2,0.0249,0.0641,0.0534,0.066876972,0.0249,0.0641
New Zealand,0.010224199,0.005,3,0.0092,0.0139,0.0138,0.012269039,0.0092,0.0139
Nigeria,0.0976,0.1,1,0.0959,0.0993,0.0976,0.0976,0.0959,0.0993
Pakistan,0.00624874,0.05,2,0.007,0.032,0.024,0.007498488,0.007,0.032
Philippines,0.02614685,0.1,2,0.0194,0.028,0.0302,0.03137622,0.0194,0.028
Poland,0.03,0.05,3,0,0.058,0.03,0.025,0,0.058
Samoa,0.030971574,0.1,3,0.0243,0.048,0.0401,0.037165889,0.0243,0.048
Singapore,0.0228,0.1,2,0,0.056,0.0228,0.019,0,0.056
Somalia,0.1477,0.1,1,0.137,0.1584,0.1477,0.1477,0.137,0.1584
Sudan,0.053325688,0.1,1,0.0257,0.0527,0.0515,0.063990826,0.0257,0.0527
Taiwan,0.088719899,0.1,2,0.0512,0.1107,0.1042,0.106463878,0.0512,0.1107
Thailand,0.039057657,0.1,2,0.0332,0.0587,0.0493,0.046869188,0.0332,0.0587
Tonga,0.085433313,0.1,3,0.0507,0.0795,0.0983,0.102519975,0.0507,0.0795
Turkey,0.021703522,0.05,1,0.0119,0.0227,0.0278,0.026044226,0.0119,0.0227
UK,0.0054,0.005,3,0,0,0.0054,0.0054,0,0
Vietnam,0.084561811,0.1,2,0.0651,0.0846,0.0815,0.101474173,0.0651,0.0846
