1971,72
1972,162
1973,258
1974,387
1975,683
1976,1125
1977,1762
1978,2535
1979,3320
1980,3966
1981,4466
1982,5191
1983,6135
1984,7620
1985,9226
1986,11032
1987,12741
1988,14579
1989,17764
1990,20933
1991,25647
1992,32353
1993,39831
1994,47161
1995,54615
1996,62050
1997,68461
1998,74856
1999,81532
2000,88927
2001,96657
2002,103199
2003,108929
2004,114748
2005,120760
2006,126648
2007,133195
2008,139347
2009,146205
2010,152912
2011,159261
2012,165615
2013,172454
2014,178817
2015,185069
2016,191384
2017,197328
2018,203241
2019,208938
2020,213973
2021,218522
