1971,72
1972,90
1973,96
1974,129
1975,296
1976,442
1977,637
1978,773
1979,785
1980,646
1981,500
1982,725
1983,944
1984,1485
1985,1606
1986,1806
1987,1709
1988,1838
1989,3185
1990,3169
1991,4714
1992,6706
1993,7478
1994,7330
1995,7454
1996,7435
1997,6411
1998,6395
1999,6676
2000,7395
2001,7730
2002,6542
2003,5730
2004,5819
2005,6012
2006,5888
2007,6547
2008,6152
2009,6858
2010,6707
2011,6349
2012,6354
2013,6839
2014,6363
2015,6252
2016,6315
2017,5944
2018,5913
2019,5697
2020,5035
2021,4549
